Date,Open,High,Low,Close,Adj Close,Volume,MktRF,SMB,HML,RF,RMW,CMA,SMB_5,yest_close,stock_return,log_return
2016-09-20,66.75,66.849998,66.239998,66.459999,59.794830000000005,10092200,-0.02,-0.21,-0.51,0.001,-0.44,-0.11,-0.32,59.55190699999999,0.004079180873250823,0.004070823532927648
2016-09-21,66.839996,67.129997,66.309998,66.839996,60.13673000000001,14116800,1.12,0.14,0.33,0.001,-0.37,0.51,0.2,59.794830000000005,0.005717885643290607,0.005701396002983472
2016-09-22,66.989998,67.41999799999999,66.839996,67.389999,60.631561,12781700,0.7,0.85,-0.06,0.001,0.04,0.14,0.8,60.13673000000001,0.008228432107964477,0.008194980236342353
2016-09-23,67.389999,67.900002,67.18,67.25,60.505607999999995,13967400,-0.6,-0.11,-0.19,0.001,0.51,-0.49,-0.06,60.631561,-0.0020773504412990892,-0.0020796056371805705
2016-09-26,66.599998,66.800003,65.540001,65.779999,59.183025,16408100,-0.88,-0.22,-0.35,0.001,-0.19,0.19,-0.29,60.505607999999995,-0.021858849844133367,-0.022101192923226876
2016-09-27,65.410004,66.410004,65.110001,66.360001,59.704868000000005,13711400,0.64,-0.07,-0.53,0.001,0.04,-0.4,-0.13,59.183025,0.00881744385319953,0.008778654832840793
2016-09-28,66.58000200000001,66.769997,65.989998,66.709999,60.01975600000001,11278000,0.56,0.23,1.1,0.001,-1.19,1.12,0.21,59.704868000000005,0.005274075809027889,0.005260371339605108
2016-09-29,66.699997,67.209999,65.349998,65.650002,59.066067000000004,18727200,-0.98,-0.41,0.54,0.001,0.25,0.67,-0.39,60.01975600000001,-0.01588958475605939,-0.016017220517777986
2016-09-30,66.08000200000001,67.059998,66.08000200000001,66.589996,59.911797,21680100,0.88,0.38,0.35,0.001,-0.2,0.1,0.42,59.066067000000004,0.014318373356397608,0.014216724840060202
2016-10-03,66.349998,66.91999799999999,66.260002,66.510002,59.839817000000004,14901700,-0.26,-0.03,-0.13,0.001,-0.02,0.14,-0.04,59.911797,-0.0012014328330027621,-0.0012020136864538955
2016-10-04,66.209999,67.18,66.099998,66.599998,60.356388,17226900,-0.46,0.03,0.09,0.001,0.17,-0.3,0.05,59.839817000000004,0.008632563164422761,0.0013522051493177756
2016-10-05,66.889999,68.07,66.800003,67.690002,61.344204000000005,16280000,0.58,0.28,0.78,0.001,-0.46,0.44,0.4,60.356388,0.016366386934884212,0.016233940550664627
2016-10-06,67.730003,67.970001,67.050003,67.870003,61.50731999999999,17485000,-0.06,-0.26,0.37,0.001,0.42,0.23,-0.22,61.344204000000005,0.002659028716062369,0.002655666850839289
2016-10-07,67.790001,68.18,67.400002,68.110001,61.724833999999994,18497000,-0.38,-0.51,0.16,0.001,-0.21,-0.38,-0.53,61.50731999999999,0.0035363920912177826,0.003529905017541246
2016-10-10,68.339996,69.059998,68.230003,68.639999,62.20513199999999,13027500,0.52,0.57,0.01,0.001,-0.63,-0.21,0.55,61.724833999999994,0.007781276495615974,0.007751380675583341
2016-10-11,68.5,68.82,67.93,68.309998,61.906075,15657100,-1.3,-0.6,0.49,0.001,0.34,0.09,-0.56,62.20513199999999,-0.004807593688572039,-0.004819301145474242
2016-10-12,68.260002,68.589996,68.050003,68.129997,61.742946999999994,11899800,0.06,-0.23,0.37,0.001,0.73,0.15,-0.2,61.906075,-0.002635088721098979,-0.002638538713357619
2016-10-13,67.459999,67.870003,66.82,67.739998,61.389515,17890000,-0.42,-0.68,-0.63,0.001,0.29,-0.13,-0.74,61.742946999999994,-0.0057242489575366545,-0.005740782887137641
2016-10-14,68.800003,69.029999,67.300003,67.519997,61.19014,24163800,0.01,-0.36,0.57,0.001,0.11,0.09,-0.33,61.389515,-0.0032477044329150247,-0.003253012008551437
2016-10-17,67.41999799999999,67.790001,66.739998,67.16999799999999,60.872948,14963400,-0.29,-0.05,0.14,0.001,0.09,0.14,-0.03,61.19014,-0.005183710970427566,-0.005197116352845477
2016-10-18,67.849998,68.209999,67.540001,67.699997,61.353252000000005,11870300,0.6,-0.17,0.03,0.001,-0.32,-0.29,-0.16,60.872948,0.007890270075305107,0.007859446101506684
2016-10-19,67.809998,68.5,67.809998,68.349998,61.942322,12705800,0.25,0.05,0.91,0.001,-0.13,0.46,0.12,61.353252000000005,0.00960128405255507,0.00955539830372043
2016-10-20,68.08000200000001,68.68,67.940002,68.260002,61.860764,14122000,-0.16,-0.03,-0.11,0.001,-0.48,-0.04,-0.05,61.942322,-0.0013166765043130613,-0.001317561130505851
2016-10-21,67.809998,68.529999,67.699997,68.489998,62.069199,12175700,0.02,-0.13,-0.31,0.001,0.19,-0.17,-0.18,61.860764,0.0033694216902978172,0.0033637472301730753
2016-10-24,68.970001,69.050003,68.5,68.870003,62.413574,10197100,0.54,0.06,-0.17,0.001,0.6,-0.49,0.07,62.069199,0.00554824301824806,0.00553299310846711
2016-10-25,68.879997,68.93,68.379997,68.800003,62.35014,9945100,-0.46,-0.59,0.23,0.001,0.05,0.0,-0.6,62.413574,-0.0010163494242453376,-0.0010169245729887422
2016-10-26,68.370003,69.25,68.370003,69.129997,62.649207999999994,9801300,-0.23,-0.85,0.74,0.001,0.09,0.55,-0.74,62.35014,0.004796589069406921,0.004784958016725405
2016-10-27,69.489998,69.769997,69.099998,69.230003,62.739822,14210700,-0.33,-0.96,0.6,0.001,-0.09,-0.03,-0.95,62.649207999999994,0.001446371037922813,0.001445591463074436
2016-10-28,69.529999,69.550003,68.470001,69.110001,62.631077000000005,12766500,-0.29,-0.1,0.11,0.001,-0.05,0.33,-0.11,62.739822,-0.0017332691826889767,-0.0017348854507588385
2016-10-31,69.43,69.58000200000001,69.230003,69.260002,62.767017,14336300,0.02,0.02,0.13,0.001,0.6,-0.31,0.08,62.631077000000005,0.0021704879831460975,0.002168115277982885
2016-11-01,69.480003,69.779999,68.33000200000001,68.970001,62.504204,15564500,-0.68,-0.35,0.18,0.001,-0.54,-0.07,-0.36,62.767017,-0.004187119486656524,-0.0041959259087152034
2016-11-02,68.650002,68.849998,68.010002,68.68,62.24139399999999,12449800,-0.73,-0.67,0.36,0.001,0.95,0.15,-0.58,62.504204,-0.004204677176594535,-0.0042136059129820325
2016-11-03,68.860001,69.190002,68.220001,68.379997,61.969508999999995,10369700,-0.4,-0.47,1.02,0.001,0.12,0.79,-0.38,62.24139399999999,-0.004368234426111946,-0.004377695690597427
2016-11-04,68.489998,68.559998,67.639999,67.760002,61.407635,13571300,-0.12,0.85,-0.43,0.001,-0.09,-0.06,0.84,61.969508999999995,-0.009066942905744115,-0.009108260478940089
2016-11-07,69.08000200000001,69.970001,69.0,69.879997,63.328892,16515100,2.23,0.19,-0.16,0.001,-0.27,-0.17,0.18,61.407635,0.03128694013374728,0.030807362475378852
2016-11-08,69.699997,70.550003,69.239998,70.029999,63.464836,17531700,0.4,-0.08,-0.2,0.001,-0.05,0.3,-0.11,63.328892,0.0021466347461123266,0.002144265052715255
2016-11-09,71.459999,74.150002,71.32,73.25,66.38295699999999,50948400,1.46,1.83,1.0,0.001,-0.72,0.74,2.07,63.464836,0.04598012354431976,0.04495454050934544
2016-11-10,74.220001,77.25,74.220001,76.650002,69.46421099999999,56192300,0.32,1.13,1.81,0.001,-0.14,0.39,1.45,66.38295699999999,0.04641634147150151,0.04537138351327474
2016-11-11,76.300003,76.720001,75.769997,76.690002,69.50048100000001,27574300,0.18,2.49,-0.04,0.001,0.16,-0.33,2.51,69.46421099999999,0.0005221393790827915,0.000521716445335052
2016-11-14,77.25,80.440002,77.25,79.510002,72.056107,46130700,0.21,0.58,1.43,0.001,-0.12,0.35,0.87,69.50048100000001,0.03677134263286594,0.03611147721167374
2016-11-15,78.370003,79.410004,77.779999,79.360001,71.92016600000001,28126300,0.8,-0.55,0.14,0.001,-0.64,0.17,-0.56,72.056107,-0.0018865992857480952,-0.0018883494900370223
2016-11-16,78.220001,78.349998,76.879997,77.400002,70.143913,26054900,-0.12,0.3,-0.55,0.001,0.83,-0.17,0.23,71.92016600000001,-0.024697565353228063,-0.025007669141949407
2016-11-17,77.93,78.459999,77.599998,78.019997,70.705795,19306700,0.56,0.13,-0.13,0.001,0.26,-0.46,0.16,70.143913,0.008010417097774359,0.007978359191357143
2016-11-18,77.959999,78.41999799999999,77.550003,77.709999,70.42485,19770000,-0.16,0.56,0.39,0.001,-0.21,0.09,0.57,70.705795,-0.00397343668931222,-0.0039812292740375455
2016-11-21,78.0,78.16999799999999,77.290001,78.050003,70.73299399999999,11983500,0.77,-0.25,0.08,0.001,-0.14,0.3,-0.27,70.42485,0.004375500977282655,0.00436574904554643
2016-11-22,78.349998,78.559998,77.760002,78.529999,71.167969,14410100,0.31,0.54,0.58,0.001,0.82,0.31,0.62,70.73299399999999,0.006149534685326746,0.006131019254456582
2016-11-23,78.870003,79.239998,77.889999,78.860001,71.467026,13373700,0.16,0.52,0.19,0.001,-0.3,0.18,0.57,71.167969,0.004202129191012951,0.004193436477384793
2016-11-25,79.099998,79.449997,78.470001,78.83000200000001,71.43985699999999,6185700,0.4,-0.08,-0.24,0.001,0.23,-0.15,-0.07,71.467026,-0.0003801613348233474,-0.00038048068731288964
2016-11-28,78.18,78.870003,78.019997,78.32,70.977654,13007200,-0.64,-0.76,0.06,0.001,0.65,-0.35,-0.77,71.43985699999999,-0.0064698197814140115,-0.006490662220613785
2016-11-29,78.389999,79.160004,78.389999,78.91999799999999,71.521408,14144100,0.11,-0.36,-0.06,0.001,0.54,-0.5,-0.39,70.977654,0.007660918181375687,0.00763165759004103
2016-11-30,79.91999799999999,80.529999,79.699997,80.16999799999999,72.654205,25351900,-0.25,-0.38,2.25,0.001,-1.63,1.96,-0.19,71.521408,0.015838572417366432,0.015714699295576118
